Name,Price,Ram,System,SSD,Processor,Display
ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,"₹17,990",4 GB LPDDR5 RAM,Chrome Operating System,,Intel Celeron Dual Core Processor,35.56 cm (14 inch) Display
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ ...,"₹62,990",16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (13th Gen),39.62 cm (15.6 Inch) Display
Acer One 14 AMD Ryzen 3 Quad Core 7320U - (8 GB/256 GB SSD/Windows 11 Home) A114-43 Thin and Light Lap...,"₹39,990",8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,256 GB SSD,AMD Ryzen 3 Quad Core Processor,35.56 cm (14 Inch) Display
Acer Aspire 3 Intel Pentium Quad Core N6000 - (12 GB/512 GB SSD/Windows 11 Home) A325-45 Thin and Ligh...,"₹43,990",12 GB LPDDR4X RAM,Windows 11 Home Operating System,512 GB SSD,Intel Pentium Quad Core Processor,39.62 cm (15.6 Inch) Display
"ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic*, AMD Ryzen 5 Hexa Core 150 - (16 GB/512 GB SSD/...","₹58,990",16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,39.62 cm (15.6 inch) Display
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (8 GB/64 GB EMMC Storage/Chrome OS) 100e Chromebo...,"₹22,490",8 GB LPDDR4X RAM,Chrome Operating System,,MediaTek Kompanio 520 Processor,29.46 cm (11.6 Inch) Display
Neopticon BrowseBook Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) BBN40412814 Lap...,"₹16,500",4 GB LPDDR4 RAM,64 bit Windows 11 Home Operating System,128 GB SSD,Intel Celeron Dual Core Processor,35.81 cm (14.1 Inch) Display
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core Ultra 5 225H - (1...","₹66,990",16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core Ultra 5 Processor,35.56 cm (14 Inch) Display
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC with 1Yr ADP Snapdragon X - (16 GB/512 GB ...,"₹56,990",16 GB LPDDR5X RAM,Windows 11 Home Operating System,512 GB SSD,Snapdragon X Processor,38.86 cm (15.3 Inch) Display
ASUS ExpertBook P1 (i3 14th Gen) with 1 Yr ADP Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 1...,"₹46,990",8 GB DDR5 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,Intel Core 3 Processor (14th Gen),39.62 cm (15.6 Inch) Display
ASUS Chromebook CX15 Intel Celeron Dual Core N50 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1505CTA-S702...,"₹21,990",4 GB LPDDR5 RAM,Chrome Operating System,,Intel Celeron Dual Core Processor,39.62 cm (15.6 inch) Display
HP 15 (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0665TU / 15-fd0640TU /...,"₹65,990",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core 5 Processor,39.62 cm (15.6 Inch) Display
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad Slim 3 ...,"₹48,811",8 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
